rank_main,rank_child,lemma,pos,rnc_ipm,detcorpus_ipm,freq_sum,all_rki_abs,r,dp,det_rki_ipm,native_ipm,bilingual_ipm,inA1,inA2,dp_factor,zipf_rki,formula_mean_zipf,formula1,rufola_123_ipm,native_abs,bilingual_abs,cefr,comment_main,comment_child,kelly
1,1,и,CONJUNCTION,35801.8,34006,52142,4950,100,0.58,23459.72,35622.62,20675.68,1,1,42,7.37,7,26,37885,30961,11475,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
2,2,в,PREPOSITION,31374.2,22378,55402,5376,100,0.61,25478.67,31623.35,30646.85,1,1,39,7.41,7,26,34277,28714,17009,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
3,12,не,PART,18028,21084,15475,1219,100,0.64,5777.25,7848.02,9277.48,1,1,36,6.76,7,24,15780,7126,5149,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
4,4,на,PREPOSITION,15867.3,16964,28759,3339,100,0.6,15824.64,14390.97,18527.93,1,1,40,7.2,7,25,16489,13067,10283,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
5,3,я,SPRO,12684.4,15918,17926,4198,100,0.58,19895.73,4699.34,11113.51,1,1,42,7.3,7,26,26231,4267,6168,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
6,6,быть,VERB,12160.7,11817,16035,2663,100,0.59,12620.85,6531.94,9356.76,1,1,41,7.1,7,25,17907,5931,5193,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
7,5,он,SPRO,11791.1,16785,16431,2913,100,0.6,13805.69,6852.42,8861.26,1,1,40,7.14,7,25,18943,6222,4918,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
8,13,с,PREPOSITION,11311.9,11057,17657,1387,100,0.64,6573.46,10734.58,9882.88,1,1,36,6.82,7,24,8268,9747,5485,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
9,14,что,CONJUNCTION,8354,10149,12909,1183,100,0.62,5606.64,6536.34,7556.76,1,1,38,6.75,7,24,12721,5935,4194,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
10,7,а,CONJUNCTION,8198,11665,14957,2738,100,0.6,12976.3,5698.24,10488.29,1,1,40,7.11,7,25,9750,5174,5821,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
11,60,по,PREPOSITION,5786.7,4379,12129,706,100,0.68,3345.97,8255.51,6439.64,1,1,32,6.52,6,22,2812,7496,3574,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
12,15,это,SPRO,5707.8,6205,6853,1937,100,0.59,9180.09,2585.9,3387.39,1,1,41,6.96,7,24,5480,2348,1880,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
13,8,она,SPRO,5592.4,8570,9282,2102,100,0.58,9962.09,3053.96,5504.5,1,1,42,7,7,25,10770,2773,3055,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
14,20,этот,APRO,5414,4136,9783,741,100,0.68,3511.85,6158.59,4890.09,1,1,32,6.55,6,23,5863,5592,2714,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
15,18,к,PREPOSITION,5389,5487,8065,554,100,0.65,2625.59,5081.5,4535.14,1,1,35,6.42,6,23,3027,4614,2517,A2,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
16,58,но,CONJUNCTION,5381.4,5814,4314,355,100,0.65,1682.46,1964.76,2227.03,1,1,35,6.23,6,22,7480,1784,1236,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
17,16,они,SPRO,4850,6095,14536,2217,100,0.63,10507.11,8123.35,7461.26,1,1,37,7.02,7,24,6389,7376,4141,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
18,11,мы,SPRO,4704.8,5695,9957,2571,100,0.6,12184.83,3167.4,6922.52,1,1,40,7.09,7,25,5321,2876,3842,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
19,62,как,CONJUNCTION,4403.7,3323,5648,338,100,0.66,1601.9,3277.53,3457.66,1,1,34,6.2,6,22,3306,2976,1919,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
20,21,из,PREPOSITION,4314.1,3760,9717,617,100,0.65,2924.17,6320.48,5273.87,1,1,35,6.47,6,23,3457,5739,2927,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
21,10,у,PREPOSITION,4306.1,5832,10479,2170,100,0.56,10284.36,4407.49,6230.63,1,1,44,7.01,7,25,6763,4002,3458,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
22,66,который,APRO,4209,2449,8485,373,100,0.66,1767.77,5395.37,4877.48,1,1,34,6.25,6,22,4031,4899,2707,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
23,74,то,SPRO,3964.4,1676,966,152,92,0.61,720.38,98.02,1039.64,0,1,39,5.86,6,22,1179,89,577,A2,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
24,59,за,PREPOSITION,3904.1,4555,3875,342,92,0.63,1620.85,2029.74,2562.16,0,1,37,6.21,6,22,2135,1843,1422,A2,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
25,24,свой,APRO,3825.5,3306,5250,504,92,0.63,2388.63,2888.77,2987.39,1,1,37,6.38,6,23,3704,2623,1658,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
26,25,что,SPRO,3810,2787,6602,544,100,0.62,2578.2,2533.04,6369.37,1,1,38,6.41,7,23,1776,2300,3535,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
27,61,весь,APRO,3786.3,3615,4639,352,92,0.66,1668.25,2714.76,2457.66,1,1,34,6.22,6,22,3648,2465,1364,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
28,44,год,NOUN,3727.5,934,2885,703,100,0.59,3331.75,631.06,1605.41,1,1,41,6.52,6,23,5719,573,891,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
29,147,от,PREPOSITION,3672.5,3224,4075,236,92,0.67,1118.48,2710.35,2088.29,0,1,33,6.05,6,21,1745,2461,1159,A2,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
30,145,так,ADVERB,3440.4,3907,3867,212,85,0.72,1004.74,2614.54,1702.7,1,1,28,6,6,21,2677,2374,945,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
31,27,о,PREPOSITION,3407.1,2265,7499,638,100,0.66,3023.7,4435.02,4288.29,1,1,34,6.48,6,23,3616,4027,2380,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
32,77,для,PREPOSITION,3229.3,1436,4089,273,85,0.65,1293.84,2519.82,2277.48,0,1,35,6.11,6,22,2103,2288,1264,A2,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
33,9,ты,SPRO,3171.2,6750,14519,2647,100,0.6,12545.02,6296.26,10072.07,1,1,40,7.1,7,25,4501,5717,5590,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
34,146,же,PART,3144.3,3671,2620,159,77,0.71,753.55,1843.61,1196.4,0,0,29,5.88,6,21,980,1674,664,B1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),B1
35,23,все,SPRO,3106.8,3433,3059,353,85,0.62,1672.99,1383.26,1958.56,1,1,38,6.22,6,23,2892,1256,1087,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
36,152,тот,APRO,2967.1,2152,2703,154,77,0.67,729.86,1770.93,1448.65,1,1,33,5.86,6,21,1091,1608,804,A2,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
37,64,мочь,VERB,2912.3,2724,3876,354,85,0.62,1677.73,2028.63,2140.54,1,1,38,6.22,6,22,3919,1842,1188,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
38,22,вы,SPRO,2906.4,3548,7312,1412,100,0.66,6691.94,3639.87,3180.18,1,1,34,6.83,7,23,6612,3305,1765,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
39,70,человек,NOUN,2723,2032,3596,263,100,0.66,1246.45,1503.3,2261.26,1,1,34,6.1,6,22,5680,1365,1255,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
40,148,такой,APRO,2696.8,2723,3013,171,92,0.68,810.43,1961.45,1531.53,0,1,32,5.91,6,21,1681,1781,850,A2,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
41,154,его,APRO,2577.9,2008,2090,228,100,0.66,1080.57,1099.12,1059.46,0,1,34,6.03,6,21,2199,998,588,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
42,19,сказать,VERB,2396.6,4655,4037,429,92,0.62,2033.18,1792.95,2502.7,1,1,38,6.31,6,23,4708,1628,1389,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
43,151,только,PART,2391.7,2219,2762,160,85,0.66,758.29,1537.44,1508.11,1,1,34,5.88,6,21,2939,1396,837,A1,крайне частотно (ТОП-100),очень частотно (ТОП-1000),A1
44,81,или,CONJUNCTION,2345,1318,6230,450,100,0.65,2132.7,3797.36,3670.27,1,1,35,6.33,6,22,2350,3448,2037,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A1
45,63,еще,ADVERB,2323.9,3088,2831,333,92,0.62,1578.2,1431.72,1531.53,1,1,38,6.2,6,22,2772,1300,850,A1,крайне частотно (ТОП-100),крайне частотно (ТОП-100),A2
