level,text_number,inA2,inB1,inA1,inB2,inC1,kellyA1,kellyA2,kellyB1,kellyB2,kellyC1,kellyC2,simple850,simple1000,simple2000,dale3000,brown10000,infr100i,infr300i,infr500i,infr1000i,infr3000i,infr5000i,infr10000i,infr100,infr300,infr500,infr1000,infr3000,infr5000,infr10000,infr_more_than_5,infr_spoken,lex_physical,lex_abstract,lex_substance,lex_virtual,lex_emotions,lex_names_and_geo,lex_bastards,formula_flesh_kinc,formula_dale,formula_smog,formula_coleman,formula_senter,words,mean_len_word,median_len_word,median_len_sentence,mean_len_sentence,percent_of_long_words,mean_punct_per_sentence,median_punct_per_sentence,tt_ratio,contentPOS,kotoryi/words,modal_verbs,conj_adversative,kotoryi/sentences,passive,A,ADV,ADVPRO,ANUM,APRO,COM,CONJ,INTJ,NUM,PART,PR,S,SPRO,V,наст,непрош,прош,вин,дат,им,пр,род,твор,ед,мн,деепр,изъяв,инф,пов,прич,кр,полн,притяж,1-л,2-л,3-л,жен,муж,сред,несов,сов,действ,страд,неод,од,нп,пе,ADVPRO_sentence,ед_sentence,PR_sentence,дат_sentence,полн_sentence,1-л_sentence,sentences,INTJ_sentence,изъяв_sentence,од_sentence,NUM_sentence,муж_sentence,пр_sentence,жен_sentence,пе_sentence,A_sentence,mean_len_word_in_syllables,страд_sentence,род_sentence,вин_sentence,притяж_sentence,сов_sentence,им_sentence,прош_sentence,V_sentence,нп_sentence,неод_sentence,CONJ_sentence,2-л_sentence,действ_sentence,деепр_sentence,непрош_sentence,SPRO_sentence,несов_sentence,мн_sentence,кр_sentence,3-л_sentence,S_sentence,сред_sentence,наст_sentence,пов_sentence,ANUM_sentence,ADV_sentence,COM_sentence,прич_sentence,инф_sentence,твор_sentence,APRO_sentence,PART_sentence
0,0,0.889,0.889,0.889,0.889,0.889,1,1,1,1,1,1,0.222,0.778,0.222,0.667,0.889,0.778,0.778,0.778,0.778,1,1,1,0.778,0.778,0.778,0.778,0.778,1,1,1,0.444,0.5,0,0,0,0,1,0,4,2.5,0,4.2,6.3,10,3.8,3,2.5,2.5,0,0,0,1.667,0.3,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0.3,0.3,0,0,0,0,0,0,0.2,0,0,0,0.6,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0.2,0,0,0,0,0.4,0.1,0,0,0,0.15,0,0,0,0.025,4,0,0,0.025,0,0.125,0,0,0,0,1.5,0,0,0,0,0,0.05,0,0,0,0.1,0,0,0,0,0,0.075,0,0.025,0,0,0.075,0.05,0,0,0,0,0,0,0,0,0.05,0.05
0,1,0.938,0.938,0.875,0.938,0.938,0.812,0.812,1,1,1,1,0.375,0.688,0.5,0.688,0.875,0.562,0.562,0.625,0.812,0.875,0.938,1,0.562,0.625,0.625,0.812,0.875,0.875,1,1,0.25,0.833,0,0,0.167,0,2,0,5.211,3.6,0,4.444,7.767,18,4.167,3.5,3,3.6,0,0,0,1.385,0.5,0,0,0,0,0,0.056,0,0,0,0.111,0,0,0,0,0,0,0.333,0.389,0.111,0,0.111,0,0,0,0.5,0,0,0,0.889,0.167,0,0.111,0,0,0,0.056,0,0,0,0,0.389,0.278,0.5,0.111,0.111,0,0,0,0.111,0.333,0,0.111,0,0.178,0,0,0,0,5,0,0.022,0.067,0,0.1,0,0.056,0.022,0.011,1.611,0,0,0,0,0,0.1,0,0.022,0,0.022,0,0,0,0,0.022,0.078,0.022,0.033,0.011,0.078,0.067,0.022,0,0,0,0,0,0,0,0,0.022,0
0,2,0.933,0.933,0.911,0.933,0.933,0.933,0.956,0.978,0.978,0.978,0.978,0.244,0.711,0.311,0.644,0.933,0.467,0.511,0.578,0.622,0.889,0.978,0.978,0.467,0.556,0.556,0.6,0.8,0.978,0.978,0.978,0.311,0.824,0.176,0.118,0.059,0,2,1,7.875,5.96,3.873,4.83,10.535,47,4.66,4,5,5.875,0.085,1.625,0.5,1.679,0.511,0,0,0.25,0,0,0,0,0.064,0,0.234,0,0.043,0,0,0.064,0,0.489,0.085,0.021,0,0.021,0,0,0,0.213,0,0.021,0,0.362,0.191,0,0.021,0,0,0,0,0,0,0.021,0,0.064,0.298,0.383,0.021,0.021,0,0,0,0.426,0.085,0,0.021,0.008,0.045,0,0,0,0.003,8,0,0.003,0.011,0,0.048,0,0.037,0.003,0,2,0,0.003,0,0,0,0.027,0,0.003,0,0.053,0.005,0,0,0,0.003,0.011,0.003,0.024,0,0.008,0.061,0.003,0,0,0,0,0,0,0,0,0.029,0.008
0,3,1,1,0.98,1,1,0.863,0.863,0.98,0.98,0.98,0.98,0.529,0.706,0.608,0.804,0.98,0.549,0.647,0.745,0.843,0.961,0.98,0.98,0.529,0.667,0.725,0.843,0.961,0.98,0.98,0.98,0.275,0.667,0.095,0.095,0.143,0,5,0,5.501,3.805,2.828,4.929,8.394,56,4.661,4,3,3.733,0.071,0.6,0,1.6,0.5,0,0,0.067,0,0,0.036,0.018,0.036,0,0.232,0,0.018,0,0,0.054,0,0.375,0.161,0.071,0,0.071,0,0,0,0.411,0,0,0,0.571,0.143,0,0.071,0,0,0,0,0.036,0,0.018,0.036,0.143,0.321,0.393,0.018,0.071,0,0,0,0.25,0.161,0,0.071,0.002,0.038,0,0,0.002,0.001,15,0,0.005,0.011,0,0.026,0,0.021,0.005,0.002,1.768,0,0,0,0,0,0.027,0,0.005,0,0.017,0.001,0.002,0,0,0.005,0.011,0.005,0.01,0,0.01,0.025,0.001,0,0,0,0.001,0,0,0,0,0.015,0.004
0,4,1,1,1,1,1,0.786,0.857,0.929,0.929,0.929,0.929,0.5,0.571,0.571,0.643,0.857,0.429,0.714,0.714,0.857,0.929,0.929,0.929,0.429,0.643,0.714,0.786,0.929,1,1,1,0.429,1,0.5,0.5,0,0,0,0,9.071,7.071,3.873,5.071,11.929,14,4.929,5,7,7,0.071,0.5,0.5,1.077,0.643,0,0,0,0,0,0.071,0.214,0.071,0,0,0,0.071,0,0,0,0,0.143,0.214,0.214,0,0.214,0,0,0,0.143,0,0,0,0.5,0,0,0.214,0,0,0,0,0.071,0,0.357,0,0,0,0.214,0.071,0.214,0,0,0,0.214,0,0,0.214,0.036,0.25,0,0,0.036,0.179,2,0,0.107,0,0,0.107,0,0,0.107,0.036,2.071,0,0,0,0,0,0.071,0,0.107,0,0.107,0.036,0,0,0,0.107,0.107,0.107,0,0,0,0.071,0.036,0,0,0,0.107,0,0,0,0,0,0
0,5,1,1,1,1,1,0.75,0.85,0.95,0.95,0.95,0.95,0.5,0.55,0.5,0.75,0.9,0.4,0.75,0.75,0.85,0.95,0.95,0.95,0.4,0.6,0.75,0.8,0.95,1,1,1,0.35,0.333,0.333,0.333,0,0,2,0,7.455,5.591,3.873,5.136,10.455,22,4.955,4.5,4.5,5.5,0.091,0.5,0,1.222,0.727,0,0,0.25,0,0,0.136,0.227,0,0,0,0,0.045,0,0,0,0.045,0.227,0.182,0.136,0,0.136,0,0,0,0.136,0,0,0,0.5,0,0,0.136,0,0,0,0,0.136,0,0,0,0.273,0.045,0.455,0.045,0.136,0,0,0,0.227,0.045,0,0.136,0,0.125,0.011,0,0.034,0,4,0,0.034,0.011,0,0.114,0,0.011,0.034,0.034,1.955,0,0,0,0,0,0.034,0,0.034,0,0.057,0.011,0,0,0,0.034,0.045,0.034,0,0,0.068,0.057,0.011,0,0,0,0.057,0,0,0,0,0,0
0,6,0.95,0.963,0.95,0.95,0.95,0.775,0.863,0.875,0.875,0.875,0.875,0.562,0.7,0.575,0.787,0.85,0.6,0.775,0.775,0.8,0.875,0.875,0.875,0.6,0.75,0.812,0.825,0.887,0.95,0.975,1,0.438,0.625,0.125,0.125,0.125,0,6,0,8.662,6.697,4.019,5.14,11.604,86,4.988,4,8,6.615,0.081,1,1,2.048,0.593,0,0.012,0.231,0,0,0.07,0.209,0.035,0,0.023,0,0.105,0,0,0.058,0.023,0.174,0.163,0.14,0,0.116,0,0,0,0.233,0,0,0,0.453,0.07,0,0.128,0.012,0,0,0,0.07,0,0.023,0.012,0.244,0.023,0.349,0.023,0.128,0,0,0,0.093,0.105,0.012,0.128,0.003,0.035,0.002,0,0.005,0.002,13,0,0.01,0.008,0,0.027,0,0.002,0.01,0.005,2.047,0,0,0,0,0,0.018,0,0.011,0.001,0.007,0.008,0.001,0,0,0.009,0.013,0.01,0.005,0,0.019,0.013,0.002,0,0,0,0.016,0,0,0.001,0,0.002,0.004
0,7,1,1,1,1,1,1,1,1,1,1,1,0.667,0.889,0.667,0.889,1,0.333,0.778,0.889,0.889,1,1,1,0.333,0.667,0.889,0.889,1,1,1,1,0.333,0,0,0,0,0,1,0,6.7,5,0,4.3,9.1,10,4.1,6,5,5,0,0,0,1.25,0.7,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.1,0.1,0.6,0,0.2,0,0,0,0.2,0,0,0,0.4,0,0,0.2,0.4,0,0,0,0,0,0.2,0,0.1,0.1,0,0,0.6,0,0,0,0,0.1,0.1,0.5,0,0.2,0,0,0,0.1,2,0,0.1,0.05,0,0,0,0.05,0.25,0,1.7,0,0,0,0,0,0.1,0,0.3,0.05,0,0.1,0,0,0,0.1,0.05,0.3,0,0,0.05,0.05,0,0,0,0,0,0,0,0.2,0,0,0
0,8,0.967,0.967,0.967,0.967,0.967,0.8,0.9,0.9,0.9,0.9,0.9,0.3,0.7,0.367,0.767,0.867,0.433,0.7,0.767,0.867,0.867,0.9,0.9,0.433,0.6,0.8,0.867,0.933,0.967,1,1,0.533,0.714,0.143,0.143,0.143,0,2,0,6.094,4.094,3.354,5.281,9.031,32,5.031,4.5,3,4,0.094,0.25,0,1.391,0.562,0,0,0.125,0,0,0.031,0.125,0.031,0,0.031,0,0.062,0,0,0.062,0,0.219,0.25,0.188,0,0.156,0,0.031,0,0.344,0,0,0,0.625,0.062,0,0.156,0,0.031,0,0,0.031,0,0,0.031,0.375,0.125,0.375,0.031,0.156,0.031,0,0,0.125,0.125,0.031,0.156,0.004,0.078,0,0,0.004,0,8,0,0.02,0.016,0,0.047,0,0.016,0.02,0.004,2.094,0,0,0.004,0,0.004,0.043,0,0.023,0.004,0.016,0.008,0.004,0,0,0.02,0.031,0.02,0.008,0,0.047,0.027,0.004,0,0.004,0,0.016,0,0,0,0,0.004,0.008
0,9,0.935,0.935,0.919,0.935,0.935,0.903,0.935,0.984,1,1,1,0.452,0.79,0.532,0.71,0.935,0.484,0.677,0.774,0.919,0.968,1,1,0.484,0.661,0.79,0.919,0.952,0.984,1,1,0.452,0.467,0.067,0,0.067,0,14,0,7.442,5.468,2.535,4.816,10.06,76,4.632,4,4,5.429,0.039,0.214,0,1.9,0.605,0,0,0.143,0,0,0.013,0.053,0.026,0,0.053,0,0.092,0,0,0.026,0.013,0.355,0.184,0.184,0,0.171,0,0.039,0,0.395,0,0,0,0.632,0.197,0,0.184,0,0,0,0.013,0,0,0.013,0.013,0.316,0.211,0.342,0.013,0.171,0,0,0,0.053,0.316,0.053,0.132,0.002,0.045,0.001,0,0,0.001,14,0,0.013,0.023,0,0.024,0,0.015,0.009,0.001,2.013,0,0,0.003,0,0,0.028,0,0.013,0.004,0.004,0.007,0.001,0,0,0.012,0.013,0.012,0.014,0.001,0.023,0.025,0.001,0,0,0,0.004,0,0,0,0,0.004,0.002
