rank,lemma,pos,freq_sum,all_rki_abs,r,dp,all_rki_ipm,native_ipm,bilingual_ipm,rnc_ipm,detcorpus_ipm
2,и,CONJUNCTION,52142,4950,100,0.58,23459.72,35622.62,20675.68,35801.8,34006
1,в,PREPOSITION,55402,5376,100,0.61,25478.67,31623.35,30646.85,31374.2,22378
17,не,PART,15475,1219,100,0.64,5777.25,7848.02,9277.48,18028,21084
4,на,PREPOSITION,28759,3339,100,0.6,15824.64,14390.97,18527.93,15867.3,16964
3,я,SPRO,17926,4198,100,0.58,19895.73,4699.34,11113.51,12684.4,15918
7,быть,VERB,16035,2663,100,0.59,12620.85,6531.94,9356.76,12160.7,11817
5,он,SPRO,16431,2913,100,0.6,13805.69,6852.42,8861.26,11791.1,16785
16,с,PREPOSITION,17657,1387,100,0.64,6573.46,10734.58,9882.88,11311.9,11057
18,что,CONJUNCTION,12909,1183,100,0.62,5606.64,6536.34,7556.76,8354,13149
44,что,SPRO,6602,544,100,0.62,2578.2,2533.04,6369.37,8354,13149
6,а,CONJUNCTION,14957,2738,100,0.6,12976.3,5698.24,10488.29,8198,11665
29,по,PREPOSITION,12129,706,100,0.68,3345.97,8255.51,6439.64,5786.7,4379
13,это,SPRO,6853,1937,100,0.59,9180.09,2585.9,3387.39,5707.8,6205
14,это,ADJECTIVE,4674,1717,100,0.6,8137.44,1557.27,2115.32,5707.8,6205
12,она,SPRO,9282,2102,100,0.58,9962.09,3053.96,5504.5,5592.4,8570
25,этот,APRO,9783,741,100,0.68,3511.85,6158.59,4890.09,5414,4136
42,к,PREPOSITION,8065,554,100,0.65,2625.59,5081.5,4535.14,5389,5487
74,но,CONJUNCTION,4314,355,100,0.65,1682.46,1964.76,2227.03,5381.4,5814
10,они,SPRO,14536,2217,100,0.63,10507.11,8123.35,7461.26,4850,6095
9,мы,SPRO,9957,2571,100,0.6,12184.83,3167.4,6922.52,4704.8,5695
36,как,ADVERB,6837,622,100,0.68,2947.87,4421.81,3466.67,4403.7,6853
84,как,CONJUNCTION,5648,338,100,0.66,1601.9,3277.53,3457.66,4403.7,6853
37,из,PREPOSITION,9717,617,100,0.65,2924.17,6320.48,5273.87,4314.1,3760
11,у,PREPOSITION,10479,2170,100,0.56,10284.36,4407.49,6230.63,4306.1,5832
69,который,APRO,8485,373,100,0.66,1767.77,5395.37,4877.48,4209,2449
218,то,SPRO,966,152,92,0.61,720.38,98.02,1039.64,3964.4,4606
509,то,CONJUNCTION,795,61,85,0.96,289.1,743.39,0,3964.4,4606
2599,то,ADJECTIVE,598,5,31,0.68,23.7,419.6,381.98,3964.4,4606
82,за,PREPOSITION,3875,342,92,0.63,1620.85,2029.74,2562.16,3904.1,4555
53,свой,APRO,5250,504,92,0.63,2388.63,2888.77,2987.39,3825.5,3306
79,весь,APRO,4639,352,92,0.66,1668.25,2714.76,2457.66,3786.3,3615
30,год,NOUN,2885,703,100,0.59,3331.75,631.06,1605.41,3727.5,934
136,от,PREPOSITION,4075,236,92,0.67,1118.48,2710.35,2088.29,3672.5,3224
157,так,ADVERB,3867,212,85,0.72,1004.74,2614.54,1702.7,3440.4,3907
35,о,PREPOSITION,7499,638,100,0.66,3023.7,4435.02,4288.29,3407.1,2265
114,для,PREPOSITION,4089,273,85,0.65,1293.84,2519.82,2277.48,3229.3,1436
8,ты,SPRO,14519,2647,100,0.6,12545.02,6296.26,10072.07,3171.2,6750
208,же,PART,2620,159,77,0.71,753.55,1843.61,1196.4,3144.3,3671
76,все,SPRO,3059,353,85,0.62,1672.99,1383.26,1958.56,3106.8,4482
447,все,ADVERB,732,68,69,0.64,322.27,339.21,477.48,3106.8,4482
216,тот,APRO,2703,154,77,0.67,729.86,1770.93,1448.65,2967.1,2152
75,мочь,VERB,3876,354,85,0.62,1677.73,2028.63,2140.54,2912.3,2724
15,вы,SPRO,7312,1412,100,0.66,6691.94,3639.87,3180.18,2906.4,3548
119,человек,NOUN,3596,263,100,0.66,1246.45,1503.3,2261.26,2723,2032
188,такой,APRO,3013,171,92,0.68,810.43,1961.45,1531.53,2696.8,2723
143,его,APRO,2090,228,100,0.66,1080.57,1099.12,1059.46,2577.9,2008
60,сказать,VERB,4037,429,92,0.62,2033.18,1792.95,2502.7,2396.6,4655
204,только,ADJECTIVE,2762,160,85,0.66,758.29,1537.44,1508.11,2391.7,2805
3297,только,CONJUNCTION,53,3,38,0.66,14.22,20.93,46.85,2391.7,2805
57,или,CONJUNCTION,6230,450,100,0.65,2132.7,3797.36,3670.27,2345,1318
89,еще,ADVERB,2831,333,92,0.62,1578.2,1431.72,1531.53,2323.9,3088
538,бы,PART,1299,57,77,0.67,270.14,803.96,787.39,2322.4,2602
176,себя,SPRO,3117,184,85,0.64,872.04,1904.19,1868.47,2272.8,2243
58,один,APRO,4883,450,92,0.64,2132.7,2927.31,2590.99,2245.7,2679
255,один,ADJECTIVE,814,132,85,0.62,625.59,418.5,428.83,2245.7,2679
124,уже,ADVERB,1638,256,85,0.6,1213.27,620.04,915.32,2179.2,2262
108,до,PREPOSITION,1539,281,85,0.62,1331.75,687.22,814.41,2061.1,1682
106,время,NOUN,3148,284,100,0.67,1345.97,1867.84,1486.49,2015.7,1415
203,если,CONJUNCTION,3213,160,100,0.66,758.29,1840.31,2100.9,1998.1,1950
345,сам,APRO,1132,94,77,0.64,445.5,547.36,796.4,1986.3,1683
85,когда,CONJUNCTION,3077,338,85,0.62,1601.9,1218.06,2077.48,1895.7,2249
1116,когда,ADVERB,206,21,54,0.61,99.53,118.94,115.32,1895.7,2249
231,другой,APRO,2865,142,85,0.66,672.99,1767.62,1598.2,1837.3,1467
46,вот,PART,2697,543,100,0.57,2573.46,1218.06,1504.5,1785.1,2623
73,говорить,VERB,3260,361,100,0.61,1710.9,1135.46,2416.22,1755,2152
41,наш,APRO,2729,562,92,0.59,2663.51,1151.98,1645.05,1731.8,1339
21,мой,APRO,3669,981,100,0.55,4649.29,748.9,2733.33,1720.3,1499
77,знать,VERB,3158,353,100,0.62,1672.99,1383.26,2010.81,1713.8,2473
742,при,PREPOSITION,1227,39,62,0.71,184.83,914.1,610.81,1550.8,543
165,чтобы,CONJUNCTION,2657,201,92,0.64,952.61,1546.26,1488.29,1479.7,1572
426,дело,NOUN,807,73,85,0.63,345.97,400.88,535.14,1412.1,1431
684,жизнь,NOUN,708,44,69,0.76,208.53,343.61,257.66,1389.8,718
20,кто,SPRO,6675,1074,100,0.58,5090.05,2915.2,5059.46,1374.8,1643
88,первый,ADJECTIVE,2852,337,77,0.65,1597.16,1725.77,1344.14,1345.6,979
