level,text
1,Это мой друг. Это моя подруга. Это мой дом. Это мое место. Это моя комната. Это моё окно. Это мой город. Это мой друг Том. Это моя подруга Анна. Это мой друг Антон Иванович.
1,Это я. Меня зовут Анна. Я студентка.Это мой отец. Его зовут Виктор. Он инженер-физик. Это моя мама. Её зовут Мария. Она социолог.Это мой брат. Его зовут Андрей. Он музыкант.Это моя сестра. Её зовут Наташа. О студентка.
1,"Это Иван Петрович Сидоров. А это его ученики. Том — американец, он — студент. Его родной язык английский. — финка, она — экскурсовод, её родной язык финский. Рамон — испанец, он — художник. Его родной язык испанский. А — врач. Его родная страна — Алжир. Он говорит по-арабски. Клаус — известный немецкий журналист, но он хорошо говорит по-английски и по-французски. А это я. Меня зовут Ирена. Мой родной город — ВарпМва. Как вы думаете, какой мой родной язык? Правильно, конечно, польский. Мы все изучаем русский язык и хорошо говорим по-русски."
1,"Мы изучаем русский ЯЗЫК.Это наша аудитория. Сейчас урок. Мы изучаем русский язык. Мы много говорим, читаем и пишем по-русски. Мы ещё плохо знаем русский язык и говорим медленно.Преподаватель спрашивает:— Как дела. Том? Том отвечает:— Спасибо, хорошо.— Вы много работаете дома?— Сейчас мало. Петербург — очень красивый город, и я много гуляю.— Вы уже хорошо знаете Петербург?— Нет, еще не очень.Том слушает внимательно и отвечает правильно. Ирена слушает невнимательно и плохо понимает, что говорит Том.— Извини, ты говоришь, что ты уже хорошо знаешь Петербург?— Нет, еще плохо, я здесь недавно. Преподаватель говорит:— , читайте, пожалуйста, текст. Рамон читает медленно и неправильно.— , вы мало работаете дома.— Читать по-русски трудно.Потом читает Сирия. Она читает быстро и правильно. Она много работает дома."
1,"Наш город.Петербург.Он не очень старый. Здесь есть новые широкие проспекты и старые узкие улицы. Главная улица — Невский проспект. Он длинный и широкий.Все знают музеи Петербурга: Эрмитаж, Русский музей, Исакиевский собор. Петербург не очень зелёный город, но здесь есть известные сады и парки: Летний сад, Марсово поле. Российские и иностранные туристы часто гуляют здесь."
1,"Что мы едим?Русские едят три раза в день: утром — завтрак, днём — обед, вёчеро— ужин.На завтрак мы обычно едим бутеророды, кашу или сосиски, яйца или творог. Мы пьём кофе или чай.Наш обед — это салат, суп (щи, борш, рассольник), мясо или рыба. Мы любим и макароны, и рис, и картофель. Мы пьём сок, воду или чай.Вечером мы едим дома. На ужин мы любим есть блины, пельмени, сыр, колоасу. Пьём обычно сок, молоко или чай."
1,"На уроке.Это наша аудитория. На столо лежат наши книги, тетради, словари. Сейчас мы на уроке. Мы изучаем грамматику. Иван Петрович спрашивает, а Том отвечает.— Где вы сейчас живете?— Я живу в Петербурге.— А где живут ваши родители?— Они живут в Америке, в штате Аризона. Потом отвечает .— Я тоже сейчас живу в Петербурге.— А где?— На Московском проспекте, в общежитии.— У вас хорошее общежитие?— Да, очень. Там есть спортивный зал, библиотека и кафе. Теперь рассказывает Снрпа.— У меня есть брат и сестра. Они жнвет в Финляндии. Мой брат работает на ферме, а моя сестра учится в университете. Мой родители не работают. Они на пенсии и сейчАс жавут в Испании."
1,"Иван Петрович: Здравствуйте! Начинаем урок. Кстати, а где сегодня Ирена? И Сирпы тоже нет? Я знаю, где они. Ирена дома, она плохо себя чувствует, и Сирпа сейчас там. Они ждут врача. Но сказала, что она обязательно будет на уроке. О. вот и они, Здравствуйте! Извините, пожалуйста, я опоздала, потому что была у Ирёны.Иван Петрович: Ну, как они? У неё есть температура? Нет, сегодня у неё нет температуры. У неё кашель и насморк. И очень болит голове. А вчера температура была высокая.Иван Петрович: Врач уже был? Что он сказал? Он думает, что у неё грипп, и она должна лежать. А лекарства у неё есть? У неё есть только витамины. А аспирин? Аспирина нет. Но я могу купить его в аптеке после урока.Том: А что они будет есть? Мы должны купить н продукты. Но у неё очень плохой аппетит.Том: Можно купить апельсиновый сок. Я думаю, она будет его пить.Иван Петрович: А молоко? В России, когда болеют, пьют горячее молоко. Нет, она никогда не пьёт молоко. Она его не любит. А может быть, купить шоколад?Иван Петрович: Я думаю, можно купить и сок, и шоколад, и, конечно, цветы."
1,"Сколько это стоит?Вчером ниша группа была в магазине. Мы решили купить печенье, фрукты, конфеты и вино, потому что вечером мы хотели посидеть вместе, поговорить по-русски, потанцевать и послушать музыку. хотел купить испанское вино, но Клаус сказал, что французское вино лучше. Мы купили итальянское вино, потому что оно дешевое. долго выбирал конфеты.Продавец; Что вы хотите? Я хочу купить вкусные, красивые и недорогие конфеты.Продавец: Вот эти конфеты очен ь вкусные и недорогие. Сколько они стоят?Продавец: Маленькая коробка стоит 10 рублей, а большая — 22 рубли. Дайте, пожалуйста, одну маленькую коробку за 10 рублей, торт и печенье за 13 рублей.Продавец: Пожалуйста. С вас 45 рублей. Спасибо.А в это время Том и девушки выбирали фрукты.Гаи; Ирена, какие фрукты ты любишь? Больше всего я люблю персики.Том: А ты, , что любишь? Я всё люблю, мне нравятся все фрукты.Том: А я очень люблю апельсины. В Америке все едят апельсины и пьют апельсиновый сок.Ирена; Прекрасно! Можно купить килограмм персиков, 2 килограмма бананов и апельсиновый сок. Сколько это стоит?Продавец: 33 рубля.Том: Сколько?! Мы не думали, что это так дорого! Может быть, купить один большой ананас? Сколько он стоит?Продавец: 18 рублей.Том: Отлично, дайте, пожалуйста, этот ананас.Вечер был прекрасный. Мы танцевали, слушали музыку, говорили по-русски, пили вино и ели конфеты."
1,"Клаус встречает брата.Клаус обычно встает в 8 часов утра. Но сегодня он встал в 7, потому что вчера он был в театре и не сделал домашнее задание. И сейчас он должен выучить новые слова и повторить грамматику.В 8:30 Клаус позавтракал. Он съел 2 бутеророда, яйцо и выпил чашку кофе.В 8:50 позвонил Том н сказал:— Клаус, ты уже прочитал детектив, который ты купил в понедельник. Я тоже хочу его прочитать.— Нет, я ещё читаю его. Но я могу дать другой, тоже очень интересный.— Большое спасибо.В 9:15 Клаус уже в аудитории. Уроки начинаются в 9:30 и кончаются в 12:45.После уроков Клаус и его друзья обычно обедают вместе. Сегодня Клаус не обедал, потому что в 2 часа он должен был встречать брата на Московском вокзале. Клаус не был дома 2 месяца и. конечно, рад видеть брата.Брат сказал, что дома все нормально. Сестра нашла интересную работу в другом городе, отец купил новую машину, мама болела, но сейчас она чувствует себя хорошо.В три часа братья были на экскурсии в Эрмитаже, потом Клаус показал центр города. Летний сад н Марсово поле. В Гостином дворе брат купил сувениры.В 8 часов они поужинали в Литературном кафе на Невском проспекте и в 9:30 уже были дома.Они очень устали и легли спать рано. Клаус опять не сделал домашнее задание и будет делать его утром."
